Time, CONVEYOR1_PROXIMITY_SENSOR,
2018-08-24 14:07:12.121, false,
2018-08-24 14:07:12.220, false,
2018-08-24 14:07:12.319, false,
2018-08-24 14:07:12.418, false,
2018-08-24 14:07:12.517, false,
2018-08-24 14:07:12.616, false,
2018-08-24 14:07:12.715, false,
2018-08-24 14:07:12.815, false,
2018-08-24 14:07:12.914, false,
2018-08-24 14:07:13.013, false,
2018-08-24 14:07:13.112, false,
2018-08-24 14:07:13.211, true,
2018-08-24 14:07:13.310, true,
2018-08-24 14:07:13.409, true,
2018-08-24 14:07:13.508, true,
2018-08-24 14:07:13.608, true,
2018-08-24 14:07:13.707, true,
2018-08-24 14:07:13.806, true,
2018-08-24 14:07:13.905, true,
2018-08-24 14:07:14.004, true,
2018-08-24 14:07:14.103, true,
2018-08-24 14:07:14.202, true,
2018-08-24 14:07:14.302, true,
2018-08-24 14:07:14.401, true,
2018-08-24 14:07:14.500, true,
2018-08-24 14:07:14.599, true,
2018-08-24 14:07:14.698, true,
2018-08-24 14:07:14.797, true,
2018-08-24 14:07:14.896, true,
2018-08-24 14:07:14.995, true,
2018-08-24 14:07:15.095, true,
2018-08-24 14:07:15.194, true,
2018-08-24 14:07:15.293, true,
2018-08-24 14:07:15.392, true,
2018-08-24 14:07:15.491, true,
2018-08-24 14:07:15.590, true,
2018-08-24 14:07:15.689, true,
2018-08-24 14:07:15.788, true,
2018-08-24 14:07:15.888, true,
2018-08-24 14:07:15.987, true,
2018-08-24 14:07:16.086, true,
2018-08-24 14:07:16.185, true,
2018-08-24 14:07:16.284, true,
2018-08-24 14:07:16.383, true,
2018-08-24 14:07:16.482, true,
2018-08-24 14:07:16.581, true,
2018-08-24 14:07:16.681, true,
2018-08-24 14:07:16.780, true,
2018-08-24 14:07:16.879, true,
2018-08-24 14:07:16.978, true,
2018-08-24 14:07:17.077, true,
2018-08-24 14:07:17.176, true,
2018-08-24 14:07:17.275, true,
2018-08-24 14:07:17.374, true,
2018-08-24 14:07:17.474, true,
2018-08-24 14:07:17.573, true,
2018-08-24 14:07:17.672, true,
2018-08-24 14:07:17.771, true,
